"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1007019048935",3,3,2,3,5,6,3,2,2,2,2,2,3,3,6,6,4,2,2,3
"1007022005651",4,6,6,6,4,2,1,1,2,3,5,6,6,6,4,2,1,1,2,3
"1007025020050",6,6,3,3,2,3,3,2,2,3,6,4,2,2,3,2,2,2,2,4
"1007026026647",2,3,5,6,6,5,3,1,1,1,2,4,6,6,6,5,4,1,1,1
"1007027007704",2,2,4,6,6,6,3,2,1,1,1,3,5,6,6,5,3,1,1,1
"1007028079042",1,1,1,2,2,3,4,4,5,5,5,5,5,5,5,6,6,2,1,NA
"1007029066658",6,4,2,3,2,2,2,3,5,6,6,3,2,2,2,1,2,2,5,6
"1007029073175",6,6,6,4,1,1,1,2,2,3,6,6,5,3,2,1,1,2,4,4
"1007032009790",1,2,3,3,6,6,6,4,2,1,1,1,1,4,5,6,5,5,5,2
"1007032036018",3,4,3,2,2,2,2,3,3,3,5,6,6,3,2,3,2,2,2,2
"1007032052125",6,6,3,2,2,2,2,2,2,5,6,6,4,2,2,2,2,2,2,4
"1007033064402",5,6,6,6,3,1,1,1,2,2,5,6,6,5,3,2,1,1,2,NA
"1007033082872",3,1,1,1,2,2,1,2,4,5,5,6,5,6,6,6,5,2,2,4
"1007045081362",1,1,2,3,6,6,6,3,2,1,1,2,2,4,6,6,6,4,2,1
"1007046012122",5,2,2,2,2,3,3,3,5,3,2,1,1,2,2,2,5,6,6,6
"1007046019506",6,3,2,1,1,2,3,5,6,6,5,2,2,1,1,2,2,5,6,6
"1007048016842",2,3,6,6,6,5,2,2,1,1,2,4,6,6,6,5,3,2,1,1
"1007052007110",1,1,3,2,5,6,6,5,4,2,1,1,1,2,6,6,6,6,3,2
"1007054033257",1,1,1,2,4,6,6,5,3,2,1,1,2,4,6,6,6,5,3,2
"1007057012995",6,6,5,2,1,1,1,2,4,6,6,6,4,2,1,1,1,2,4,6
"1007060001939",6,6,6,3,2,2,1,1,2,3,5,6,6,4,3,2,1,1,2,3
"1007067023019",1,1,1,2,2,3,4,4,6,6,6,6,6,6,6,5,2,1,1,1
"1007068056441",5,6,3,1,2,1,3,2,5,4,6,5,4,3,1,2,3,5,5,2
"1007069007256",5,4,2,1,2,2,3,4,6,6,5,5,3,2,2,1,2,3,5,6
"1007070007278",1,1,1,2,4,5,5,4,3,3,2,2,2,3,6,6,6,6,3,1
"1007070022946",6,6,6,6,5,5,4,2,2,2,1,1,1,1,2,3,4,5,5,6
"1007071021717",6,3,2,2,1,2,3,3,6,6,5,3,2,1,1,2,2,3,6,6
"1007073056444",2,1,4,3,5,5,6,6,5,6,6,3,3,1,1,2,4,4,1,1
"1007076065572",1,5,5,6,6,5,2,1,1,2,3,4,4,5,6,4,5,3,1,1
"1007078025530",1,1,1,1,2,3,3,3,5,5,6,6,6,6,6,5,5,3,2,1
"1007079036682",5,6,6,5,3,2,2,1,1,2,5,6,6,5,3,1,1,1,2,3
"1007081048925",1,3,5,6,6,6,5,4,1,1,1,1,3,4,5,5,4,3,1,1
"1007082011169",1,1,1,2,2,2,3,3,4,5,5,5,6,6,4,5,5,6,4,4
"1007084006848",3,4,4,5,5,5,6,6,6,6,6,3,1,1,1,1,1,1,2,2
"1007084044206",6,6,4,3,2,1,1,2,3,6,6,6,5,3,2,1,1,1,3,5
"1007084059792",2,3,6,6,5,3,2,1,1,1,2,5,6,6,6,3,2,1,1,1
"1007084063517",2,2,3,5,6,4,3,3,2,1,2,2,3,5,6,6,4,2,3,1
"1007085027520",5,2,4,2,3,2,1,1,1,3,4,3,3,4,5,6,6,6,5,4
"1007085068668",2,3,4,6,6,6,6,2,2,1,2,1,3,4,5,5,4,2,1,1
"1007086016592",2,2,2,5,3,3,4,6,4,4,6,4,6,5,3,4,2,1,1,2
"1007086093370",5,5,5,5,6,6,6,5,2,1,1,1,1,2,2,3,3,4,4,5
"1007086097287",2,2,1,1,2,5,6,6,6,4,2,2,2,1,2,3,6,6,6,4
"1007089020082",1,1,1,1,1,2,3,4,4,6,6,6,6,6,6,5,4,2,2,2
"1007089113783",5,5,6,6,5,4,5,4,1,1,1,2,3,1,1,3,4,5,4,4
"1007090131427",6,6,6,5,4,1,1,1,1,1,2,3,3,4,5,5,5,5,5,5
"1007109009026",1,2,3,6,6,6,6,3,2,1,1,1,3,5,6,6,5,2,2,1
"1007109056935",6,5,4,2,1,2,2,3,5,6,6,6,2,2,1,1,3,5,5,5
"1007109078034",5,4,3,2,2,2,2,3,4,6,5,4,3,2,5,2,3,3,4,5
"1007109114277",6,6,3,3,1,1,1,2,4,5,5,4,3,1,2,1,2,3,6,6
"1007111003933",2,3,3,4,6,6,6,6,6,6,5,4,3,2,2,1,1,1,1,1
"1007111059233",1,1,1,1,2,2,2,3,5,5,6,6,6,6,6,4,4,4,3,4
"1007111060632",3,2,2,3,3,4,5,3,3,3,2,2,3,2,3,5,6,4,2,2
"1007113057223",5,3,3,1,1,1,2,3,5,6,6,5,3,2,2,2,2,4,5,6
"1007113078863",1,1,2,1,3,3,4,6,5,6,5,5,5,5,5,5,4,2,3,1
"1007114035898",6,5,3,2,2,2,2,2,3,4,5,4,4,2,2,2,2,2,4,6
"1007114060772",1,1,1,3,5,6,6,6,3,1,1,1,1,3,4,6,6,6,3,2
"1007116026426",6,6,5,5,3,2,1,1,1,1,1,2,2,3,3,5,5,6,6,6
"1007116034876",3,2,1,1,1,1,1,1,2,3,4,5,5,6,6,6,6,6,6,5
"1007118032812",6,6,5,5,2,1,1,1,2,5,6,6,5,4,3,1,1,1,2,5
"1007119061494",6,6,4,3,2,1,1,2,4,3,6,6,5,3,2,1,1,2,3,6
"1009005007512",3,5,6,6,3,2,1,1,1,2,3,6,6,6,4,2,2,1,2,2
"1009009045443",2,3,6,4,4,4,1,1,1,2,2,4,5,6,6,6,5,4,3,2
"1009010008002",6,3,2,2,2,1,2,2,2,1,2,2,5,4,6,5,5,6,6,6
"1009013010440",2,6,6,3,2,2,2,2,2,2,2,5,6,4,3,2,2,3,2,2
"1009013016512",1,3,4,5,6,6,4,2,1,1,1,2,4,6,6,6,4,2,1,1
"1009013021380",2,2,6,6,2,4,2,2,3,3,2,2,5,6,3,4,3,3,2,2
"1009018004632",2,3,5,5,6,6,3,3,2,1,1,2,3,4,6,6,6,3,1,2
"1009022031417",1,1,1,2,3,5,6,6,5,3,1,1,2,2,3,6,6,6,4,2
"1009022035262",6,5,3,2,1,2,3,3,5,6,6,5,3,2,2,2,2,2,5,6
"1009023028205",3,4,4,4,3,2,2,2,2,5,4,5,5,5,4,3,2,5,2,2
"1009023031376",2,3,5,6,6,5,2,2,1,1,2,3,6,6,6,5,3,2,1,1
